Name Wetland,ID,Area,Species,Species normalized,Longitude in decimal,Latitude in decimal,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,TP,NOXN,bod,ec
Abberton Reservoir,1,7.26,6,0.826446281,0.875,51.875,0.00084055,15.9031,0.266463,0.04357,1.00E+31,1.00E+31,0.608101393,5.726097183,2.300367083,546.3082277
Alde–Ore Estuary,2,25.47,1334,52.37534354,1.54167,52.125,0.00048898,6.05161,0.452219,1.59787,182.826,39.6822,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Arun Valley,3,52.9,491,9.281663516,-0.541667,50.9583,0.000539548,17.812,0.64675,10.6441,210.69,4.40029,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Avon Valley,4,13.85,418,30.18050542,-1.79167,50.7917,0.00164609,7.14786,0.284392,47.0091,289.906,10.4797,0.385643796,3.4307911,2.081622015,290.9994091
Benfleet and Southend Marshes,5,22.51,152,6.75255442,0.708333,51.5417,0.00091636,6.32413,0.217693,0.64625,7761.83,25.2829,0.497195523,2.8185575,2.195766158,435.5002585
Blackwater Estuary,6,43.95,465,10.58020478,0.875,51.7917,0.000849081,4.6513,0.381531,0.04357,1.00E+31,1.00E+31,0.497195523,2.8185575,2.195766158,435.5002585
Breydon Water,7,12.03,1193,99.1687448,1.625,52.625,0.000417358,3.79204,0.496504,2.04639,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Broadland,8,46.23,1846,39.93078088,1.625,52.7083,0.000458682,4.75568,0.48073,0.240132,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Chesil Beach and The Fleet,9,7.48,348,46.52406417,-2.54167,50.625,0.0011121,12.4125,0.503579,0.748843,1.00E+31,1.00E+31,0.251672977,2.837046,1.731561856,360.5366833
Chichester and Langstone Harbours,10,58.1,763,13.13253012,-0.958333,50.7917,0.0014443,1.48142,0.204895,1.02781,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
