Wetlands name,State,ID,Species,Species normalized,Area,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN
Coongie Lakes,SA,1,751,0.037929293,19800,-27.33333333,140,8.37E-26,9.2231,0.18758,0.0255722,1.00E+31,1.00E+31,1.364228744,0.203040333,419.9492411,0.356447867
Big Swamp,SA,3,18,9,2,-34.65,135.7,0.000378069,93.6216,0.370491,0.38024,1.00E+31,1.00E+31,1.466167639,0.115127982,304.6796374,0.57886639
Lake Hamilton,SA,4,22,1.1,20,-34.03333333,135.3,6.53E-05,13.0528,0.375424,1.55163,1.00E+31,1.00E+31,1.585180889,0.146043011,403.1053266,0.534511528
Lake Newland,SA,5,35,0.414299242,84.48,-33.4,134.8666667,1.99E-05,24.2459,0.310847,0.13806,1.00E+31,1.00E+31,1.329412239,0.180435024,593.8183194,0.384515678
Tod River Wetland ,SA,6,639,3.008474576,212.4,-34.45,135.8666667,0.000133098,143.605,0.386939,0.665083,1.00E+31,1.00E+31,1.451133876,0.157865083,497.139379,0.514843963
Birchmore Lagoon,SA,7,23,15.33333333,1.5,-35.8,137.4833333,8.30E-11,57.7447,0.599189,0,1.00E+31,1.00E+31,1.528854693,0.119896935,352.9035735,0.542265687
Flinders Chase River Systems,SA,9,831,2.054388133,404.5,-35.94972222,136.7372222,0.00010345,96.1306,0.642351,2.8261,1.00E+31,1.00E+31,0.849320818,0.090514967,89.38818232,0.341386842
Lake Ada,SA,10,170,17.10261569,9.94,-35.93333333,137.3333333,0.000748128,18.878,0.31336,0.623026,1.00E+31,1.00E+31,1.062787787,0.075374853,196.9643301,0.379827343
Murray Lagoon,SA,11,417,18.95454545,22,-35.91666667,137.4,0.000748128,19.3309,0.31336,0.623026,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Tookayerta & Finniss Catchments,SA,12,199,66.33333333,3,-35.38333333,138.7333333,4.75E-06,79.999,0.649981,0.163392,1.00E+31,1.00E+31,1.843042722,0.200876566,491.3330319,0.768450665
Waidrowski Lagoon,SA,13,83,15.66037736,5.3,-35.83333333,137.6166667,0.000510234,34.2355,0.341763,1.78878,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
White Lagoon Wetland,SA,14,13,1.733333333,7.5,-35.83333333,137.5166667,0.000686415,34.0167,0.288712,3.65522,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Banrock Swamp Wetland,SA,15,104,8.524590164,12.2,-34.18333333,140.3333333,-5.64E-06,31.3966,0.445477,725.122,749.59,0.0596395,1.552346532,0.211727084,669.4193564,0.525844435
Gurra Lakes,SA,16,59,8.939393939,6.6,-34.28333333,140.6333333,-9.03E-06,12.6003,0.557348,726.611,312.604,0.0712543,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Irwin flat,SA,17,11,22,0.5,-34.23333333,139.65,6.44E-07,24.53,0.565892,724.07,108.048,0.0190637,1.664079664,0.20036666,679.4662994,0.539860027
Loch Luna Wetland,SA,18,21,1.076923077,19.5,-34.2,140.3666667,-5.64E-06,10.9343,0.445477,725.122,749.59,0.0596395,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Loveday Swamps,SA,19,62,12.94363257,4.79,-34.28333333,140.4,-1.30E-05,16.2594,0.569247,725.508,1108.68,0.052832,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lower Murray Swamps,SA,20,153,98.70967742,1.55,-35.1,139.3,2.07E-05,22.0993,0.605062,718.106,213,0.555782,2.187586312,0.179000244,448.9052619,0.700400164
Marne River Mouth,SA,21,13,32.5,0.4,-34.7,139.5666667,7.72E-06,42.1486,0.553614,721.041,1435.01,0.075775,1.910163502,0.158943501,481.1899943,0.618648333
Noora Evaporation Lakes,SA,22,18,3.6,5,-34.38333333,140.8666667,9.83E-08,8.16656,0.230797,0.165725,1.00E+31,1.00E+31,1.557335999,0.205106234,633.915618,0.507541042
Pike-Mundic Wetland,SA,23,67,1,67,-34.23333333,140.7833333,3.44E-06,13.2042,0.262272,0.205199,1.00E+31,1.00E+31,2.121435773,0.316753834,510.3480049,0.881274276
Riverland Wetland,SA,24,740,2415.143603,0.3064,-34.03333333,140.8333333,2.22E-06,6.93317,0.549412,729.656,1.00E+31,1.00E+31,1.288657209,0.228179664,630.2685781,0.475939368
Spectacle Lakes,SA,25,100,23.41920375,4.27,-34.36666667,140.4333333,2.22E-07,17.2504,0.577885,726.022,673.997,0.0705025,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Swan Reach Wetland,SA,26,69,27.6,2.5,-34.53333333,139.6,9.62E-07,27.5672,0.528087,721.999,171.766,0.0204373,2.070307905,0.204436612,564.0635579,0.715914126
Butchers & Salt Lakes,SA,27,15,37.5,0.4,-36.88333333,139.8,1.00E+31,1.10033,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Deadmans Swamp,SA,28,316,57.98165138,5.45,-37.16666667,140.85,8.28E-06,15.5323,0.638725,0.0522144,1.00E+31,1.00E+31,1.317074982,0.161036072,378.4123496,0.604341017
Ewens Ponds,SA,29,31,6200,0.005,-38.01666667,140.8166667,8.13E-08,4.65202,0.725093,1.32E-05,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Honans Scrub,SA,30,401,47.62470309,8.42,-37.73333333,140.6333333,0.000447851,21.7893,0.594377,0.356524,1.00E+31,1.00E+31,1.166387228,0.111806958,224.4524433,0.595752228
Lake Frome & Mullins Swamp,SA,31,106,3.2960199,32.16,-37.56666667,140.1833333,0.000155618,7.47815,0.667806,0.118709,1.00E+31,1.00E+31,1.406494243,0.156391559,442.840107,0.506113238
Marshes Swamp,SA,32,372,55.93984962,6.65,-37.6,140.5333333,0.00106802,34.3925,0.3635,0.850794,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Naen Naen Swamp & Gum Lagoon,SA,33,26,7.76119403,3.35,-36.26666667,140.0333333,8.43E-05,11.3356,0.454056,0.0552619,1.00E+31,1.00E+31,1.6930741,0.163729942,447.2330523,0.557515619
Piccaninnie Ponds,SA,34,261,87,3,-38.05,140.95,0.000725975,7.05699,0.443558,0.630166,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Poocher & Mundulla Swamps,SA,35,65,21.66666667,3,-36.35,140.6833333,8.25E-06,7.37581,0.456173,0.00331027,1.00E+31,1.00E+31,1.588155196,0.149460908,359.5290449,0.517003295
